,tourney_type,tourney_name,tourney_location,year,tourney_conditions,tourney_surface,singles_winner_name,doubles_winner_1_name,doubles_winner_2_name,tourney_fin_commit_USD,tourney_region,tourney_city,country_code,latitude,longitude
0,ATP 250,Brisbane,Brisbane,2010,Outdoor,Hard,Andy Roddick,Jeremy Chardy,Marc Gicquel,424250.0,Oceania,Brisbane,AU,-27.46794,153.02809
1,ATP 250,Doha,Doha,2010,Outdoor,Hard,Nikolay Davydenko,Guillermo Garcia-Lopez,Albert Montanes,1110250.0,Asia,Doha,QA,25.28545,51.53096
2,ATP 250,Chennai,Chennai,2010,Outdoor,Hard,Marin Cilic,Marcel Granollers,Santiago Ventura,450000.0,Asia,Chennai,IN,13.08784,80.27847
3,ATP 250,Sydney,Sydney,2010,Outdoor,Hard,Marcos Baghdatis,Daniel Nestor,Nenad Zimonjic,424250.0,Oceania,Sydney,AU,-33.86785,151.20732
4,ATP 250,Auckland,Auckland,2010,Outdoor,Hard,John Isner,Marcus Daniell,Horia Tecau,407250.0,Oceania,Auckland,NZ,-36.84853,174.76349
5,ATP 250,Johannesburg,Johannesburg,2010,Outdoor,Hard,Feliciano Lopez,Rohan Bopanna,Aisam-Ul-Haq Qureshi,500000.0,Africa,Johannesburg,ZA,-26.20227,28.04363
6,ATP 250,Santiago,Santiago,2010,Outdoor,Clay,Thomaz Bellucci,Lukasz Kubot,Oliver Marach,450000.0,South America,Santiago,CL,-33.45694,-70.64827
7,ATP 250,San Jose,San Jose,2010,Indoor,Hard,Fernando Verdasco,Mardy Fish,Sam Querrey,600000.0,North America,San José,CR,10.95173,-85.1361
8,ATP 250,Costa do Sauipe,Costa do Sauipe,2010,Outdoor,Clay,Juan Carlos Ferrero,Pablo Cuevas,Marcel Granollers,500000.0,South America,Mata de São João,BR,-12.53028,-38.29917
9,ATP 500,Memphis,Memphis,2010,Indoor,Hard,Sam Querrey,John Isner,Sam Querrey,1226500.0,North America,Memphis,US,27.53587,-82.56121
10,ATP 250,Buenos Aires,Buenos Aires,2010,Outdoor,Clay,Juan Carlos Ferrero,Sebastian Prieto,Horacio Zeballos,544300.0,South America,Buenos Aires,AR,-34.61315,-58.37723
11,ATP 500,Dubai,"Dubai, United Arab Emirates",2010,Outdoor,Hard,Novak Djokovic,Simon Aspelin,Paul Hanley,2233000.0,Asia,Dubai,AE,25.0657,55.17128
12,ATP 500,Acapulco,"Acapulco, Mexico",2010,Outdoor,Clay,David Ferrer,Lukasz Kubot,Oliver Marach,1081500.0,North America,Acapulco de Juárez,MX,16.84942,-99.90891
13,ATP 250,Delray Beach,Delray Beach,2010,Outdoor,Hard,Ernests Gulbis,Bob Bryan,Mike Bryan,500000.0,North America,Delray Beach,US,26.46146,-80.07282
14,Masters 1000,ATP Masters 1000 Indian Wells,Indian Wells,2010,Outdoor,Hard,Ivan Ljubicic,Marc Lopez,Rafael Nadal,4702285.0,North America,Indian Wells,US,33.71791,-116.34311
15,Masters 1000,ATP Masters 1000 Miami,Miami,2010,Outdoor,Hard,Andy Roddick,Lukas Dlouhy,Leander Paes,4500000.0,North America,Miami,US,25.77427,-80.19366
16,ATP 250,Houston,"Houston, United States",2010,Outdoor,Clay,Juan Ignacio Chela,Bob Bryan,Mike Bryan,500000.0,North America,Houston,US,37.32616,-91.95599
17,ATP 250,Newport,"Newport, United States",2010,Outdoor,Grass,Mardy Fish,Carsten Ball,Chris Guccione,500000.0,North America,Newport,US,35.6048,-91.2818
18,ATP 250,Atlanta,"Atlanta, United States",2010,Outdoor,Hard,Mardy Fish,Scott Lipsky,Rajeev Ram,600000.0,North America,Atlanta,US,33.749,-84.38798
19,ATP 250,Los Angeles,"Los Angeles, United States",2010,Outdoor,Hard,Sam Querrey,Bob Bryan,Mike Bryan,700000.0,North America,Los Angeles,US,34.05223,-118.24368
20,ATP 500,Washington,"Washington, United States",2010,Outdoor,Hard,David Nalbandian,Mardy Fish,Mark Knowles,1402000.0,North America,Washington,US,33.73679,-82.73931
21,Masters 1000,ATP Masters 1000 Canada,"Toronto, Canada",2010,Outdoor,Hard,Andy Murray,Bob Bryan,Mike Bryan,3000000.0,North America,Toronto,CA,43.70011,-79.4163
22,Masters 1000,ATP Masters 1000 Cincinnati,"Cincinnati, United States",2010,Outdoor,Hard,Roger Federer,Bob Bryan,Mike Bryan,3000000.0,North America,Cincinnati,US,39.12711,-84.51439
23,ATP 250,New Haven,New Haven,2010,Outdoor,Hard,Sergiy Stakhovsky,Robert Lindstedt,Horia Tecau,750000.0,North America,New Haven,US,38.60838,-91.21904
24,Grand Slam,US Open,New York,2010,Outdoor,Hard,Rafael Nadal,Bob Bryan,Mike Bryan,10508000.0,North America,New York City,US,40.71427,-74.00597
25,ATP 250,Kuala Lumpur,Kuala Lumpur,2010,Indoor,Hard,Mikhail Youzhny,Frantisek Cermak,Michal Mertinak,947750.0,Asia,Kuala Lumpur,MY,3.1412,101.68653
26,ATP 250,Bangkok,Bangkok,2010,Indoor,Hard,Guillermo Garcia-Lopez,Christopher Kas,Viktor Troicki,608500.0,Asia,Bangkok,TH,13.75398,100.50144
27,ATP 500,Beijing,"Beijing, China",2010,Outdoor,Hard,Novak Djokovic,Bob Bryan,Mike Bryan,3336500.0,Asia,Beijing,CN,39.9075,116.39723
